zipcode,ad_season,avg_profit,median_profit
98059,summer,31882.574596774222,31920.0
98059,winter,32106.02948717951,30400.0
98065,fall,43484.24640000003,47088.00000000006
98065,spring,49918.590720000044,50716.80000000005
98065,summer,44789.146434782655,46886.40000000005
98065,winter,47383.805793103485,49027.96800000005
98070,fall,54757.45142857142,51880.0
98070,spring,55790.58823529409,56800.0
98070,summer,57519.99999999998,54400.0
98070,winter,60159.99999999998,59279.99999999997
98072,fall,58671.5138709677,58393.99999999994
98072,spring,57537.655384999955,58869.29999999996
98072,summer,54956.901999999965,55677.99999999994
98072,winter,55019.48154999995,56306.07499999995
98074,fall,49032.69833333335,50350.0
98074,spring,51293.25500000002,52250.0
98074,summer,46932.44859154932,47500.00000000006
98074,winter,49388.88839285717,50207.5
98075,fall,70374.98181818188,73843.20000000007
98075,spring,72898.27111384623,74880.00000000012
98075,summer,71092.3126153847,72115.20000000007
98075,winter,72965.61874285723,74131.20000000007
98077,fall,73515.84,73280.0
98077,spring,78053.88235294116,80800.0
98077,summer,80134.78956521738,84000.0
98077,winter,83336.0,89920.0
98092,fall,29643.95232000003,31219.20000000001
98092,spring,29575.065600000027,30528.0
98092,summer,27736.295040000026,29030.400000000023
98092,winter,29264.929745454567,29952.0
98102,fall,93096.5714285714,90400.0
98102,spring,83533.86666666665,88800.0
98102,summer,86879.99999999999,89000.0
98102,winter,98579.99999999999,107920.0
98103,fall,39753.49100000004,39662.50000000006
98103,spring,41162.289949494996,41430.45000000001
98103,summer,41561.78297619051,41800.00000000006
98103,winter,39676.05487804882,38950.00000000006
98105,fall,71225.74199999995,73467.79999999999
98105,spring,76603.39698421049,74690.0
98105,summer,76729.12753333329,74689.321
98105,winter,76049.88611111106,74785.05999999994
98106,fall,30890.136774193583,32716.800000000047
98106,spring,28171.048421052656,29813.76000000001
98106,summer,27919.45053658539,29952.0
98106,winter,27499.617792000026,28800.0
98107,fall,61482.38481874995,62467.99999999994
98107,spring,64277.87449999996,64980.29999999999
98107,summer,62597.42151515149,63825.99999999994
98107,winter,66367.72333333331,67900.0
98108,fall,46367.707826086946,49600.0
98108,spring,46264.32,48000.0
98108,summer,41818.64,41760.0
98108,winter,37015.96799999999,37679.999999999985
